Name,Activities,Subsector Activities,PO Box,City,Fax,Email,Location,Manager
COMPAGNIE INDUSTRIELLE PHARMACEUTIQUE (CINPHARM), Fabrication de médicaments,None,None, Douala, 233 47 29 65, secretariat@cinpharm.net, Makepe, M. Célestin Tawamba (PCA) - M. Mourad Alimi (DG)
COMETAL," Construction metallique, maintenance industrielle et petrolière, maintenance gazière et minière, conception et fabrication des charpentes, bacs, cuves, fabrication des équipements roulants (semi-remorques, bennes, grumiers, porte-engins, citernes)", Industrie métallique, B.P. 4382, DOUALA, 233 39 29 15/ 233 39 33 96, cometal@tafinvestment.com," Bonabéri, Zone industriellle"," M. Stanislas Kouala (Directeur général), M. Olivier Fotso (Directeur général adjoint)()"
CNCC (Conseil National des Chargeurs du Cameroun ), Conseil et Assistance aux Chargeurs, Services aux entreprises, B.P.1588, DOUALA, 233 43 70 17, info@cncc.cm," Bonanjo, mmeuble camship", Monsieur Auguste MBAPPE PENDA(Directeur général)
COLGATE PALMOLIVE CAMEROUN, Vente des produits de consommation,None, 1083, DOUALA,None," richard_fowang@colpal.com, ghislaine_likeng@colpal.com"," Akwa, Immeuble Activa", Monsieur Richard FOWANG (DG)
CONCEPT IMMOBILIER, Immobilier, Logements, BP 12112 Douala-Cameroun, Douala,None, conceptimmobilier1@gmail.com, 443 Rue Dominique Savio Primaire, RAMY FILIPPI
CONSEILS ET SUIVIS LOGISTIQUES, Formation professionnelle des conducteurs en engins lourds,None, 12840, DOUALA,None, info@cfpcsl.com," Ndogbong, Derrière Camlait", Monsieur Guy Roméo NGANGNANG (DG)
CONSEILS FISCAUX ASSOCIES, Conseils fiscaux, Cabinet conseil,None, DOUALA,None, ghtchente@conseilsfiscauxassocies.com," Bonanjo, face Radio", Monsieur Guy Honoré TCHENTE(Directeur général)
Croisiere BTP," Génie Civil, Construction",None, 3461, Yaoundé,None, secretariat@croisierebtp.cm, Mfandena, M. Tchamba Bopa Hervé (Directeur Général)
CONNECTIK HALL, Vente de matériel électrique,None, 17808, Douala,None, infos@connectik-group.com, 463-465 Avenue King Akwa, M. Emmanuel WAFO KUATE
CREATIVE SARL, Vente de matériel Informatique, Commerce, B.P, DOUALA,  3807, creative.sarl@yahoo.fr; marc.djoumessi@creativesarl.net;," Akwa, Face direction orange", Monsieur Marc DJOUMESSI(Directeur général)
CREDIT POPULAIRE (Société Coopérative d'Epargne et de Crédit), Epargne et crédit,None, 184, DOUALA,None," ecpc@creditpopulairecm.com,  dgecpc@creditpopulairecm.com, president@creditpopulairecm.com, mediesse_emilie@creditpopulairecm.com"," Rue Mermoz (Akwa), Derrière immeuble BGFI", Madame Alix SIKON Epse NOUMSI (DG)
CPET (Chambre Professionnelle  Des Experts Techniques du Cameroun), Expertise technique,None, 467 Av De Gaule, Douala,None, info@cpet-cm.org / cpet_experttechniquecameroun@yahoo.fr, Akwa, Dr Ing Fréderic DJEUHON
CROPLIFE CAMEROUN, Défense des intérêts de l'industrie phytosanitaire, Organisation professionnelle, B.P. 3224, DOUALA, 233 39 23 75 / 233 39 23 74, info@croplife-cm.org," Bonabéri, locaux Fimex", Monsieur Jean BIAKATH (Président)
CPA (COMPAGNIE PROFESSIONNELLE D'ASSURANCE DU CAMEROUN), Assurances, Assurance, B.P. 54, DOUALA, 233 43 43 84, cpasiege@yahoo.fr," Akwa,  Face Parfait garden", Monsieur Raphaël FUTE(Président directeur général)
CWEN (Cameroon Women Entrepreneurs Network), Activité Association (Promotion et défense des intérêts des femmes chefs d'entreprise),None,None,None,None, camwomen2015@gmail.com,None, Madame Marie Caroline Kingue (Présidente)
CTC (CAMEROUN TOBACCO COMPANY) , Commercialisation de cigarettes,None,None, DOUALA,None, accounting.secretary@ctccm.com," Akwa, Bld Ahmadou Ahidjo, Mobile Bonakouamouang", Monsieur MENGOT TABI TAMBE AMBANG Robinson
CSL (CENTRE DE FORMATION PROFESSIONNELLE EN CONDUITE D'ENGINS LOURDS), Formation Professionnelle des Conducteurs en Engins Lourds,None, BP 12840, DOUALA,None, info@cfpcsl.com, Ndogbong derrière Camlait, Monsieur Guy Roméo NGANGNANG (Directeur Général)
DETAENERGY," Production d'énergie, placement", commerce et distribution, B.P. 7326, DOUALA, 233 41 44 27, detaenergy_sarl@yahoo.fr, Ndongbong (face ISTAM), Madame Louise Laure TALA KUATE(Directeur général)
DELOITTE," Audit, comptabilité, conseil juridique et fiscal, conseil financier, conseil en système d'information", Cabinet conseil, B.P.5393, DOUALA, 233 42 55 69, infocameroun@deloitte.com," Bonanjo, CNPS Tower 8th floor", Monsieur Nemesius  MOUENDI MOUENDI(Associé)
COTCO S.A. (Cameroon Oil Transportation Company)," Construction, exploitation et entretien du pipeline Tchad-Cameroun", Transport," B.P. 3738 Douala, Cameroun", DOUALA, (237) 2 33 42 95 96 / 2 33 50 28 42,None, 164 Rue Toyota (Rue 1.239) Bonapriso, Monsieur Johnny MALEC(Directeur général)
DHL EXPRESS, Messagerie de transport,None,None, DOUALA,None, ousmanou.kouotou@dhl.com;," Bonanjo, face Yoomee", Monsieur Alphonse BEA (Directeur général)
DELTA INDUSTRIES INTERNATIONAL S.A., Import -Export du Cacao et Café, Commerce import/export, B.P. 18492, DOUALA,None,None, Bali (Rue Dikoume Bell), Monsieur Moïse DIABE(Président Directeur général)
DECORALIA," Evénementiel, location du matériel de décoration",None, BP 4406, DOUALA,None, decoralia.events@yahoo.fr," Bonapriso, Rue UTA, Immeuble Bonadouma Home, RDC", Madame Léonie KWEKAM (Directeur Général)
Cyclone Sarl, Services,None, 362, Douala,None, info@cyclone-cm.com, Akwa, Monsieur Kikoeng Russelle (Gérant)
DHL GLOBAL FORWARDING," Transport, Fret, Transit maritime",None, 625, DOUALA,None, dgfcm.cs@dhl.com," Bonanjo, 22, Rue Pierre Loti", Madame Véronique EBENYE EPANGUE (D.G)
DINO & FILS S.A., Sciage bois et exportation, Agro-Industrie, B.P. 12287, YAOUNDE,None, talom_justin@justawe.com, Yaoundé, Monsieur Justin TALOM(Directeur général)
DOHONE SA, Agrégateur de paiement numérique,None, BP 5033, YAOUNDE,None, infos@my-dohone.com, Etoa-Méki, Monsieur Wilfried NGAH (Directeur Général)
DJEMO BTP, BTP, BTP, B.P. 8412, YAOUNDE, 222 01 86 11, ebtpbat@yahoo.fr; infos@djemo.cm," Yaoundé, mfou", Monsieur Clovis NOUMSI DJEMO(Directeur général)
DIOOL CAMEROON SAS, Distribution de produits digitaux,None, 482, Douala,None, contact@diool.com," IMMEUBLE INDIGO , Bonapriso", M. Philippe BOUPDA
DOWNSTREAM CONSULTING SA," Conseil en distribution des produits pétroliers, gérance en mandat de station services, études et audits d'impact en environnement, placement du personnel temporaire", Services, B.P. 5825, DOUALA, 233 42 97 52, info@downstream-consulting.com," Akwa, Boulevard République (face Comeci )", Monsieur Patrice MBALLA(Président directeur général)
DOVV Distribution Sarl, Commerce général, Commerce et distribution, B.P. 20829, YAOUNDE, 2 22 22 50 34, dovvcam@yahoo.fr, Yaoundé, Monsieur  Philippe NOUBISSI TAGNE(Directeur général)
DPDC (DIBAMBA POWER DEVELOPMENT COMPANY), Production d'électricité,None, BP 12063, DOUALA,None, hadidjatou.goggo@globeleq.cm," Bali, Rue Bertaut", Monsieur Frédéric Didier MVONDO (Directeur Général)
DREAM EVENT, Prestation de services Evènementiel, Location matériel évènementiel, B.P. 8535, DOUALA,None, infos@dreamevent.biz," Akwa, rue des écoles", Madame Jocelyne DIKOUME(Directeur général)
DTP CAMEROUN," Terrassement, assainissement, génie civil, chaussée et voirie", BTP, B.P. 12880, YAOUNDE, 222 21 04 66, d.bouchval@bouygues-construction.com, Yaoundé, Monsieur Daniel BOUCHVAL(Directeur général)
EASY PRINT, Marketing et événementiel,None,None, DOUALA,None, experience@easygroup.agency," Bali, face super U", Monsieur Jesse Happy NDONGO (D.G)
ECO -ASSURANCES, Courtage d'assurance et de réassurance, Assurance, B.P. 1500, DOUALA, 233 42 92 53, michel.toguem@ecoassurances.com," Akwa, Rue Drouot  à côté DG MTN", Monsieur Michel TOGUEM(Directeur général)
ECA-ERNST & YOUNG," Audit et conseil; tax & legal, TAS (transaction advisory services)", conseil, B.P. 3340, DOUALA, 233 42 91 18, eca_sa@hotmail.com," Bonapriso, face castell hall", Monsieur Jean TIENTCHEU(Directeur général)
ECO SERVICES," BTP, Fournitures Industrielles",None, 2192, Douala,None, dg.ecoservices@gmail.com, Immeuble Ancienne CNPS Ndokoti, M. Nouadje Alain (Directeur Général)
EFAB CORPORATE SARL ," Conseils en Finance, Informatique et Communication",None,None, Yaoundé,None, anda@efab-corporate.com," Avenue Ahmadou Ahidjo, face Djeuga Appart, à coté de Merina Hôtel (3ème  étage)", Monsieur Emile Franklin ANDA BILE (Directeur Général)
EDF CAMEROUN , Développement Projets Energétiques,None, BP 15936, BASTOS,None," marlene.biessy@edf.cm, infos@edf.cm"," Yaoundé, Bastos", Madame Marlène BIESSY (Directeur Général)
ECTA-BTP (ETABLISSEMENTS CAMEROUNAIS DES TECHNICIENS ASSOCIES EN BATIMENT ET TRAVAUX PUBLICS ), Etude de projet et contrôle des travaux en BTP, Services aux entreprises, B.P. 785, YAOUNDE, 222 22 91 16, contact@ecta-btp.com," Elig-Essono, imm ancien Fonader", Monsieur Pierre MELI(Directeur général)
ECOBANK CAMEROUN, Services bancaires, Banque, B.P. 582, DOUALA, 233 43 86 09 / 233 43 84 87, ecobankcm@ecobank.com; mfall@ecobank.com, Bonanjo, Mme. Gwendoline Abunaw(Directrice générale)
EGEC (Entreprise générale d'Etudes et de Constructions)," Génie-civil , bâtiments, Second œuvre", BTP, B.P. 4111, DOUALA, 233 42 86 80, egeccameroun@yahoo.fr, Akwa Rue Drouot (bano palace) imprimerie moderne, Monsieur Lucien EYOUM JONG(Directeur général)
ECC (SOCIETE D'EXPERTS COMPTABLES CONSEILS), Expertise Comptable et Conseils,None, BP 2592, Douala,None, eccconseils@yahoo.fr," AKWA, Rue Joffre (carrefour Arno derrière hotel La falaise akwa)", Monsieur Albert CHEUCHEU (Directeur Général)
ElectIT Engineering,None,None, 15163, Douala,None, info@electit.net, Face Douala Grand Mall, M. Kamga Stéphane (Directeur Général)
ENEM, Mécanique générale - chaudronnerie - construction metallique, Industrie métallique, B.P. 3489, DOUALA, 233 39 24 71, secretariat@enem-cameroun.cm; secretariat.enem@yahoo.fr, Bonabéri, Monsieur Jean Paul LOWE(Président directeur général)
EMPLOI SERVICE S.A., Placement et Gestion du personnel, Services aux entreprises, B.P. 7242, DOUALA, 233 42 98 91/699 80 18 09," emploiservice@emploiservice.cm, emploi_service@yahoo.fr"," Bali, Immeuble complexe la Gr", Madame Colette Jeannine MINKA(Directeur général)
EVOLVING CONSULTING, Conseil et Services en Technologies de l'Information et de la Communication, Cabinet conseil, BP 12507, YAOUNDE,None, info@evolvingconsulting.com, Carrefour Hysacam Immeuble Rose 5ème  Etage BP 12507 Yaoundé, Madame Reine ESSOBMADJE(Directeur général)
ELITE CAPITAL GROUP S.A.," Holding financière, Prise de participation, Conseil en investissements financiers", Bourse et gestion d'actifs, 35303 Yaoundé-Cameroun, Yaoundé,None, info@elite-capitalgroup.com," Nouvelle route Bastos, 4è étage Immeuble FENA", Monsieur Mathieu EBANGA ENYEGUE (Administrateur Général)
ELECTRO-PLOMB Sarl," Etudes, Travaux électriques, Froid et climatisation",None, B.P 12275, DOUALA,None," info@electro-plomb.com, electroplomb@gmail.com"," Douala, Rue Dr Jeamot, fac ancienne porte Laquintinie", Monsieur Séraphin LEUBOU KOLIOU (Directceur Général)
ENEO CAMEROUN S.A.," Production, transport et distribution d'énergie électrique", Industrie de l'énergie, B.P. 4077, DOUALA, 233 42 22 47, alexandre.siewe@eneo.cm," Bonanjo, Avenue De Gaule", Monsieur Amine HOMMAN LUDIYE (Directeur Général)
EURO COSMETICS," Production, conditionnement et distribution produits cosmétiques",None,None, DOUALA,None,None, Zone industrielle BASSA, Monsieur Arsène KAMENI MONKAM
Executive & Leisure Travel Agency (ELTA), Transport et tourisme, Services tourisme, B.P. 4911, DOUALA, 233 43 21 32/222 23 27 70, enquiries.douala@elta-travel-deals.com," Akwa, rez-de-chaussez immeuble Afriland Akwa", Monsieur LITOMBO NJIE LITUMBE(Directeur général)
EUROPE AFRIQUE INTERIM S.A, Gestion de la main d'oeuvre temporaire,None, 10071, Douala,None,None," Bonapriso, carrefour Hotel de l'air", M. Nicolas YOBA (PDG)
EXPRESS EXCHANGE," Transfert d'argent, change manuel", Services financiers, B.P. 12554, DOUALA, 233 43 82 16," info@expressexchange.net, dgaadmin@expressexchange.net; attdirection@expressechange.net"," Akwa, douche", Monsieur Xavier TAKAM(Président Directeur général)
EXPRESS UNION, Envoi  et réception rapide d'argent, Services financiers, B.P. 33088, YAOUNDE, 222 20 24 54, info@expressunion.com; spdg@expressunion.net," Yaoundé, Etoa-meki", Monsieur Blaise KAMDEM TEUGUEU (Directeur Général)
FAYADORT S.A., Fabrication et vente des matelas en ressort et lits en bois, Autres industrie manufacturière, B.P.6260, DOUALA, 233 42 66 40, fayadort@fayadort.com," Akwa, Rue batoula", Monsieur Isaac FANKAM YAMAKO(Président directeur général)
FERMENCAM (Société Camerounaise de Fermentations), Distillerie; liquoristerie, Industrie de boissons, B.P. 13234, DOUALA,None," fermencam@gmail.com, secretariat.fermencam@gmail.com"," Bonabéri, Zone industrielle, carrefour Mutzig", Monsieur Pierre TCHINDA(Directeur général)
FACE AUX RISQUES PROFESSIONNELS, Métier d'incendie, DOUALA,None," Ndogsimbi, face ancien CNPS Bassa", B.P.7380," faceaurisque@yahoo.fr, faceauxrisques@faceauxrisques.cm", T2, Monsieur Arséne ENOKA(Directeur général)
FAFINSA, Fabrication et commercialisation de fils pour mercerie et broderie, Industrie du textile,None, YAOUNDE, 222 21 09 97, noubi@hotmail.de," Yaoundé, Tongolo,face ancien binam", Monsieur Samuel NZALI(Directeur général)
FINACEP CAMEROUN, Financement des TPE," Services, Microfinance", 13778, Yaoundé, 222 208 127, finacepcameroun@yahoo.com, Bastos - Rue BOUNOUNG," Monsieur Thierry BESSILE (PDG), Monsieur Charles PAPANA (DGA)"
FINANCIAL HOUSE S.A., Micro finance, Services bancaires, B.P. 4531, YAOUNDE, 222 22 60 33, blaise.kamdem@financialhouse.cm, Place de l'hôtel de ville, Madame Eliane TCHUENDEM KAMDEM épse TCHIAZE (DGA)
FIMEX INTERNATIONAL SA," Protection et nutrition des plantes, + Biotechnologies végétales", Commerce et distribution, B.P. 3224, DOUALA, 233 39 23 75, fimex@fimex-international.com," Bonabéri, locaux Croplife, Rail", Monsieur Christian  FOSSO(Directeur Général)
FIRST TRUST S.A," Epargne, financement, tranfert des fonds", Services bancaires, B.P. 15271, DOUALA, 233 43 80 42, damase.gnonhossou@firsttrustcm.net; guillaume.ebele@firsttrustcm.net," Akwa, face Zepol", Monsieur Damase GNONHOSSOU Z.(Directeur général)
FIRSTRANSACT INTERNATIONAL SERVICES COMPANY (FISCO Sarl)," prestations de services, négoce, import-export, derives pétroliers", Services aux entreprises, B.P. 2278, DOUALA, 233 40 41 74," Sikamj@simad.cm, Info@simad.cm", Akwa . Avenue King Akwa, Monsieur Claude Joel SIKAM DJUIMO (Président Directeur général)
FLORE SERVICES SARL," Nétoyage industriel, entretien espaces verts",None, B.P.10114, DOUALA,None, floreservices@yahoo.fr," Akwa, Blrd de la Liberté", Madame Nathalie Flore NNIA LENGUE (Directeur Général)
"FME - GAZ, Les Gaz Industriels du Cameroun"," Production et distribution de gaz industriels et d'oxygène médical, fourniture et installation d'extincteurs automatique", Industrie chimique, B.P. 13108, DOUALA, 233 39 21 40, fme@tafinvestment.com," Bonaberi, Zone Industrielle"," M. Gaël Fotso et Olivier Fotso (Co-gérants), M. Victor Tientcheu (Directeur général)()"
FOBS LTD, Distribution Produits Chimiques et Maintenance Industrielle,None, BP 5913,None, +237 695 19 21 11, fobs@fobs-group.com," Douala Zone industrielle, face BoisCam", Monsieur Jean-Bernard DJIAKAM (Directeur Général)
G4S Security Services Cameroon Plc, Sécurité, Services aux entreprises, B.P. 3798, DOUALA, 233 43 43 43, blanche.kemmogne@cm.g4s.com, Bonapriso Carrefour armée de l'air, Monsieur Olivier MEBARA(Directeur général)
FULL OPTION SERVICES SARL," ENERGIE, INFORMATIQUE & TELECOMS"," Prestations de services  (Informatiques, Réseaux, Télécoms, Energie)", B.P. 10059 Akwa Douala-Cameroun, Douala,None, fulloptionservice.sarl@yahoo.com, BESSENGUE - DOUALA, Monsieur Charles TCHATUE KAMGA (Directeur Général)
GEFAD CONSULTING," Conseil juridique et fiscal, conseil en douane, formation",None,None,None,None,None," Akwa, collège de la Salle, 3ème étage", Madame Thérèse Kuissu (Gérante)
FODECC (FONDS DE DEVELOPPEMENT DES FILIRES CACAO CAFE), Promotion des filières Cacao et Café, Services aux entreprises, B.P. 1510, YAOUNDE, 233 42 41 64, fodecc_06@yahoo.fr," Yaoundé, Tsinga (Bonanjo,)", Monsieur Samuel Donatien NENGUE(DG)
FISC'AF SARL," Conseil juridique et fiscal agréé (Droit fiscal, Droit des sociétés, Droit social, Droit de la propriété intellectuelle… )",None, 512, DOUALA,None, reine.tamo@aec-cm.com," Akwa, Rue Pasteur LOTTIN SAME (Rue Laborex – Derrière l’église Native Baptist Church)"," Madame TAMO Reine Flore, Associée - Gérante"
GAP CONSULT," Expertise et audit comptable, conseil en gestion, conseil  fiscal", Cabinet conseil, B.P. 6805, DOUALA, 233 42 11 78, gap@gapconsultcm.com," le voyage, après immeule adrh apave", Monsieur Alain-Pierre GAMENI NDEULE(Associé-Gérant)
GENERAL BUSINESS OF AFRICA, Grande distribution, Tertiaire Marchand, 6754, DOUALA, 233437929, generalbusiness@yahoo.fr," Akwa, rue Focauld, n° 147", M. Elie Berlin FOKOU (PDG)
GLOBAL FREIGHTAGE SERVICES," Transit, Logistique, Acconage, Transports Maritime et Routier, Consignation des Navires",None, 15729, Douala,None, globalfreightage@gmail.com," N° 706 BLR BALI, DOUALA", MBOGNING WOJUWO ROMARIC S. (PDG)
GLOBAL LOGISTICS LTD," Logistiques,  Négoce, prestations", Logistique, BP 3861, DOUALA, 233 42 94 87, info@globallogistics.cm," Bonapriso, Rue Tokoto", Monsieur NSANGOU MBOMBO ZOUNEDOU(Directeur général)
GFBC (Groupement de la Filière Bois au Cameroun)," Exploitation forestière, trannsformation", Organisation professionnelle, B.P 495, YAOUNDE, 222 20 21 58, gfbcam@yahoo.fr," Yaoundé, Bastos", Monsieur GIORGETTI GIORGIO(Président du Comité exécutif)
Groupe Blaz Design Management & Investment S.A," Consulting, Négoce, Marketing stratégique",None,None, Yaoundé,None, bd.blazdesign@gmail.com," Bastos, Rue du Golf"," Monsieur Blaz J.E. Essomba, (Administrateur- Président Directeur Général)"
GPAC (GROUPEMENT PROFESSIONNEL DES ACCONIERS DU CAMEROUN), Acconage et manutention des marchandises au port de Douala, Syndicat,None, DOUALA, 233 42 11 31, gpac_sg@syndicatsmaritimes.org," Bonapriso, GMI", M. Gabriel MABIMEN (Président); M. Georges Francis MOUTLEN (Secrétaire exécutif)
GRAPHICS SYSTEM,None,None, 3045, Douala,None, graphicssystem@hotmail.com," Akwa, Place des Portiques", Monsieur Jean Baptiste SANGA (DG)
GLOBAL SERVICES SARL, Transport/transit, Transport/transit, B.P. 2533, DOUALA,None, infos@globalservices-sarl.com, Bonanjo, Monsieur Jean WATI(Directeur général)
GEX (Groupement des Exportateurs Cacao/cafés), Défense des intérêts des membres et de la profession, Syndicat, B.P. 12232, DOUALA, 233 42 75 83, gex_cam@yahoo.fr, Beach, Monsieur Théodore EBOBO(Président)
GPP (GROUPEMENT DES PROFESSIONNELS DU PETROLE), Groupement des professionnels du pétrole,None, 829, DOUALA,None, gpp_cam@yahoo.fr, S/C Tradex,     Monsieur Simon PALEY (Président)
GROUPE BOCOM, Traitement et incinération des déchets divers, Industrie de recyclage, B.P. 9546, DOUALA,None, bocominter2002@yahoo.fr," Akwa, (DG) avant pharmacie des hopitaux; Bonaberi (dir tech),", Monsieur Dieudonné BOUGNE(PDG)
GROUPE ISEM-IBCG, ENSEIGNEMENT SUPERIEUR,None, 15712, DOUALA,None, isemibcg@yahoo.com," Rond-Point Deido, à côté du Garage DANGOTE - M050600023659Q", Monsieur BONA BONA Théophile Marcel (DG)
GROUPEMENT DES INDUSTRIES MEUNIERES DU CAMEROUN," Meunerie, Transformation de blé en farine (syndicat professionnel)",None,None, Douala, 233 42 46 18, secretariatgeneral.gimc@yahoo.com," 278, Place du Gouvernement,  Bonanjo", M. Célestin Tawamba (Président); M. Alfred MOMO EBONGUE(Secrétaire Général)
GROUPE INTER PRESS," Communication globale, imprimerie", Communication, B.P. 20017, YAOUNDE, 222218033, interpressimprimerie@yahoo.fr, Rue Dragage à coté de l'ARMP, Madame Henriette SOURNAC(Président directeur général)
GTS- FILTREX," Vidéo surveillance IP et numérique , contrôle d'accès et biométrie, extincteurs et extinction automatique, filres et système de filtration industriel, distribution d'eau et fontaines réfrigérantes, forage, électro-pompe", Services aux entreprises, B.P. 11062, DOUALA, 233 40 59 54 / 233 42 28 84, gts@gtsalarm.com; info@filtrex-cm.com/v.epesse@gts-filtrex.com," Akwa, immeuble Decage", Monsieur Bruno DIE FOTIE(Directeur général)
GROUPE FOCALI, Commerce général,None, B.P 11400, DOUALA,None, focali2014@yahoo.fr," AKWA, 2193, Rue Jamot", Monsieur Albert FONGANG (Président)
Groupe Scolaire Bilingue DUVAAL, Enseignement privé laïc,None,None, DOUALA,None, vaal.bilingualschool@gmail.com," Malangué, Hôpital Général", Monsieur Roméo DEFFO TCHUMTCHOUA (Fondateur)
GUCE-GIE (Guichet Unique des Opérations du Commerce Extérieur), Facilitation des procédures du commerce extérieur, Services aux entreprises, B.P. 12679, DOUALA, 233 43 60 78, guce-gie@guichetunique.org," Bonanjo, immeuble camship", Monsieur Isidore BIYIHA(Directeur général)
GTW (GALILEO TRAVELPORT WORLDSPAN), Transport Aérien, Transport, B.P. 12069, DOUALA, 2 33 41 33 09, infogalileo@travelportcwa.com," DEIDO, 1er étage immeuble AZICCUL, (feu rouge Bessengue)", Monsieur Georges SANGANG SIMO(Directeur général)
GROUPE NOJEMA, Prestation de service, Services aux entreprises, B.P. 4443, DOUALA, 233 43 11 63, societenojema@yahoo.com," Bali, 316 Rue Dikoume Bell", Monsieur  Jean Marie NOUTONG SOMDJEU(Président directeur général)
GUEST Cameroun,"  commercialisation  des produits de télécoms, électronique et informatiques",None,None,None,None, info@guestcameroon.com," Akwa, av Foch", Monsieur Jean François FOTSO NOUMSI (Directeur Général)
GUINNESS CAMEROUN S.A., Brasserie, Industrie de boissons, B.P. 1213, DOUALA, 233 40 71 82, Guinness.Cameroun@diageo.com, Bassa, Monsieur ANDREW ROSS(Directeur général)
HACC (Huilerie Alimentaire et Chimique du Cameroun)," Production de savon, transformation huile de palme brute en oléine raffiné",None,None, Douala,None, haccdirection2018@yahoo.com," Bassa zone industrielle, entrée ESG campus C", Monsieur Emmanuel Célestin FAKAM (Président Directeur Général)
HARVEST ASSET MANAGEMENT, Gestion de portefeuille,None, 661, Douala,None, info@hamgt.com, Boulevard de la république, M. KAMGAING TAASSI Marc (PDG)
HEVECAM S.A.," Caoutchouc naturel, hévéaculture", Agro-industrie, B.P. 1298, DOUALA, Dla 233 42 81 41/Niété 222 99 20 77," bayo@hevecam.com, adama@hevecam.com", Beach, Monsieur Eric HOCEPIED(Directeur général)
HOTEL IBIS DOUALA, Hotelier - service, Hotellerie/tourisme, B.P. 12086, DOUALA, 233 42 36 05, ho839@accor.com, Bonanjo, Madame Solange BWAME(DG)
HOTEL MONT FEBE, Hotellerie/tourisme, Hotellerie/tourisme, B.P. 711, YAOUNDE, 222 21 60 70, info@hotel-montfebe.com, Yaoundé, Monsieur Nicolas TCHOBANG(Directeur général)
HORIZON PHYTO PLUS SA," Importation et distribution de produits phytosanitaire, semence et produits chimiques",None,None, Douala,None, horizonphyto@horizonphytoplus.com," Bonaberi, ZI Magzi", Monsieur BONI Guislain (DG)
HILTON YAOUNDE - CAMEROON HOTELS CORPORATION, Hôtellerie, Hotellerie/tourisme, B.P. 11852, YAOUNDE, 222 22 32 10, reservations.yaounde@hilton.com, Yaoundé Blrd 20 mai, Monsieur Julien BESANCON (Directeur général)
GULFIN S &T CO," Administration, gestion et contrôle des societes, opérations de capital risque; recherche de financement et de partenariat; Representation des societes; transport de petrole et des v racs liquides et toutes activités connexes; trading du pétrole brut et d", Services aux entreprises,None, DOUALA, 233 42 76 76," info@gulfinstco.com, bayemi.eric@gulfinstco.com", Bonanjo, Monsieur Albert BOUM (Administrateur Directeur Général)
HSD HUMAN RESOURCE SOLUTIONS LTD," Gestion du personnel temporaire et recrutement, prestation de services", Services aux entreprises, B.P. 3948, DOUALA,None, cameroon.office@hsd-melt.com," Bonapriso, 85 Avenue de l'Indépendance (carrefour Hôtel de l'Air)", Monsieur Hubert NANA (Directeur Général)
HOTEL SAWA," Hôtellerie, restauration", Hotellerie/tourisme, B.P. 2345, DOUALA, 233 42 38 71, reservation@hotelsawa.biz; hotelsawa@hotelsawa.com; lmpriso@hotelsawa.com," Bonanjo, 488, rue de Verdun", Monsieur Pierre MOIFO(Directeur général)
HUAWEI Technologies Company Cameroon Limited," Services, Installation et maintenance Télécoms",None, BP 4427, YAOUNDE,None, ngomom.serge@huawei.com," Yaoundé, Bastos", Monsieur ZHANG XIUGUI (Directeur Général)
INSTITUT UNIVERSITAIRE DU GOLFE DE GUINEE (IUG)," Formation, Education",None, BP  12489 Douala - Ndokotti PK8 (Entrée Laïque),None,None," ct5@univ-iug.com, lmdacf@yahoo.fr, nanfacktim@yahoo.com",None," DJAMBOU MBOUENDEU Stève Cédric (Président), NANFACK FOTOUOLA Timoléon Bertin (Conseiller Technique)"
HYDRAC SA (Hydrocarbures Analyses Contrôles)," Analyse et contrôle des hydrocarbures, des eaux, contrôles techniques, formation, contrôles non destructifs", Services aux entreprises, B.P. 12806, DOUALA, 233 37 04 66, hydrac@camnet.cm," Bassa, à coté UCB", Monsieur David EKOUME(Directeur général)
IHS CAMEROON S.A., Etablissement et exploitation infrastructures passives en support au réseau de communications électroniques.," ACQUISITION, MAINTENANCE INFRASTRUCTURES TELECOMS", BP  15115 Douala-Cameroun, Douala,None, martial.mbongue@ihstowers.com, Akwa Boulevard de la Liberté, ABDALLAH AL CHAMMAS
HYSACAM SA," Collecte, transport et gestion des déchets ménagers",None,None, Douala,None, hysacam_dg@hysacam-proprete.com," Bassa, à côté de Asquini"," Monsieur Michel NGAPANOUN (PDG), Monsieur Jean Pierre IMELE (DG)"
INSTITUT UNIVERSITAIRE DE LA COTE, Etablissement d’enseignement supérieur,None,None, Douala,None, istdi@yahoo.fr  /  scolarité@istidi.net, Logbessou, M. Paul Guimezap  (Président fondateur)  ()
INSTITUT SAINT JEAN," Formation, enseignement supérieur",None, BP 749, YAOUNDE,None, info@institutsaintjean.org," Yaoundé, Etok-Koss", Père Jean Hervé (Directeur Général)
INQ CREATORS, Imprimerie,None, BP 8520, DOUALA,None, reachus@triberix.com, Deido, Monsieur NGOHMINANG ASAH AZEFOR (D.G)
INSTITUT UNIVERSITAIRE SIANTOU," Formation, enseignement supérieur",None,None, Yaoundé,None, inscriptions@siantou.net,None, Monsieur Lucien WANTOU SIANTOU (PDG)
INTELCIA CAMEROUN, Centre d'appel,None, 12995, Douala,None, alain.nsague@intelcia.com, Akwa-Rue Bebey Eyidi, M. Jean-Yves Kotto (Directeur Général)
